T_32,T_37,T_43,T_47,T_50,T_53,T_55,T_56,T_57,T_63,T_67,T_80,T_82,T_83,T_99,T_106,T_110,T_SC,T_32_NM,T_37_NM,T_43_NM,T_47_NM,T_50_NM,T_53_NM,T_55_NM,T_56_NM,T_57_NM,T_63_NM,T_67_NM,T_80_NM,T_82_NM,T_83_NM,T_99_NM,T_106_NM,T_110_NM,T_SC_NM
22,0,4,1,0,0,0,4928,5285,2.21,130,0,0,5106.50 ,167.00 ,0,1,68.2,0.093023256,0,0.571428571,0.142857143,0,0,0,0.033379393,0.040747566,0.186507937,0.067322631,0,0,0.036825234,0.046324549,0,1,0.525838844
14,0,0,0,0,0,0,6555,5642,5.43,0,0,0,6098.50 ,0.00 ,0,0,54.66,0.055813953,0,0,0,0,0,0,0.04439974,0.04350005,0.399470899,0,0,0,0.043978986,0,0,0,0.194219936
10,0,0,5,0,2,0,2007,1490,5.43,0,0,2,1748.50 ,0.00 ,0,0,56.85,0.037209302,0,0,0.714285714,0,0.047619048,0,0.013594245,0.011487961,0.399470899,0,0,0.012738854,0.012609208,0,0,0,0.247856968
12,0,0,0,1,0,0,554,809,5.43,0,0,1,681.50 ,0.00 ,0,0,52.59,0.046511628,0,0,0,0.022222222,0,0,0.003752472,0.006237423,0.399470899,0,0,0.006369427,0.004914598,0,0,0,0.14352192
12,0,0,1,0,0,0,590,686,5.43,0,0,0,638.00 ,0.00 ,0,0,67.92,0.046511628,0,0,0.142857143,0,0,0,0.003996315,0.005289088,0.399470899,0,0,0,0.004600901,0,0,0,0.518981141
80,0,4,1,1,0,0,44064,28817,5.43,0,0,1,36440.50 ,0.00 ,1,0,72.04,0.362790698,0,0.571428571,0.142857143,0.022222222,0,0,0.298463789,0.222180245,0.399470899,0,0,0.006369427,0.262788593,0,1,0,0.619887338
17,0,0,3,1,0,0,2262,2281,2.21,0,0,1,2271.50 ,0.00 ,0,0,64.9,0.069767442,0,0,0.428571429,0.022222222,0,0,0.015321466,0.017586603,0.186507937,0,0,0.006369427,0.016380793,0,0,0,0.44501592
87,0,2,1,5,24,0,30047,16499,5.43,78,0,29,23273.00 ,82.67 ,1,1,74.9,0.395348837,0,0.285714286,0.142857143,0.111111111,0.571428571,0,0.203520821,0.127207963,0.399470899,0.040393578,0,0.184713376,0.167831916,0.022931114,1,1,0.689933872
12,0,0,1,0,0,0,1050,1404,5.43,0,0,0,1227.00 ,0.00 ,0,0,60.31,0.046511628,0,0,0.142857143,0,0,0,0.007112086,0.010824897,0.399470899,0,0,0,0.008848441,0,0,0,0.332598579
62,1,3,6,17,41,0,20683,14713,5.43,528,2,61,17698.00 ,840.00 ,1,1,77.92,0.279069767,1,0.428571429,0.857142857,0.377777778,0.976190476,0,0.140094557,0.11343783,0.399470899,0.273433454,1,0.388535032,0.12762812,0.233009709,1,1,0.763899094
6,0,5,2,3,8,0,316,394,5.43,73,1,11,355.00 ,25.00 ,1,1,74.81,0.018604651,0,0.714285714,0.285714286,0.066666667,0.19047619,0,0.002140399,0.003037756,0.399470899,0.037804247,0.5,0.070063694,0.002560062,0.006934813,1,1,0.687729611
5,0,0,1,0,0,0,760,555,5.43,0,0,0,657.50 ,0.00 ,0,0,61.01,0.013953488,0,0,0.142857143,0,0,0,0.005147796,0.004279073,0.399470899,0,0,0,0.004741524,0,0,0,0.349742836
9,0,0,2,0,3,0,1171,531,7.92,3,1,3,851.00 ,14.33 ,0,1,57.58,0.03255814,0,0,0.285714286,0,0.071428571,0,0.00793167,0.004094032,0.564153439,0.001553599,0.5,0.01910828,0.006136938,0.003975959,0,1,0.265735978
12,0,0,0,0,3,0,4709,4985,6.29,0,0,5,4847.00 ,0.00 ,0,0,52.16,0.046511628,0,0,0,0,0.071428571,0,0.031896015,0.038434553,0.456349206,0,0,0.031847134,0.034953865,0,0,0,0.132990448
79,1,5,2,3,6,0,12843,11721,6.29,249,2,9,12282.00 ,83.00 ,1,1,66.34,0.358139535,1,0.714285714,0.285714286,0.066666667,0.142857143,0,0.086990978,0.090369388,0.456349206,0.128948731,1,0.057324841,0.088570944,0.023023578,1,1,0.480284105
4,0,2,0,1,1,0,5954,4234,6.29,11,0,2,5094.00 ,64.67 ,0,1,58.56,0.009302326,0,0.285714286,0,0.022222222,0.023809524,0,0.040328917,0.032644313,0.456349206,0.00569653,0,0.012738854,0.036735091,0.017938049,0,1,0.289737938
40,1,3,3,2,2,0,5764,4687,6.29,0,1,5,5225.50 ,138.67 ,0,1,65.26,0.176744186,1,0.428571429,0.428571429,0.044444444,0.047619048,0,0.039041968,0.036136961,0.456349206,0,0.5,0.031847134,0.037683396,0.038465095,0,1,0.453832966
4,0,0,1,1,1,0,2652,1873,6.29,0,1,2,2262.50 ,0.00 ,1,0,63.08,0.009302326,0,0,0.142857143,0.022222222,0.023809524,0,0.017963098,0.014440906,0.456349206,0,0.5,0.012738854,0.01631589,0,1,0,0.400440852
7,0,0,0,1,0,0,1175,1159,2.56,0,0,1,1167.00 ,1.00 ,0,1,55.08,0.023255814,0,0,0,0.022222222,0,0,0.007958763,0.008935937,0.209656085,0,0,0.006369427,0.008415754,0.000277393,0,1,0.20450649
4,0,0,0,3,0,0,1005,2840,5.95,0,0,3,1922.50 ,0.00 ,0,0,63.05,0.009302326,0,0,0,0.066666667,0,0,0.006807283,0.021896516,0.433862434,0,0,0.01910828,0.013863999,0,0,0,0.399706098
5,0,0,0,0,0,0,670,1427,5.95,0,0,0,1048.50 ,0.00 ,0,0,57.68,0.013953488,0,0,0,0,0,0,0.004538189,0.011002228,0.433862434,0,0,0,0.007561198,0,0,0,0.268185158
10,0,0,0,0,0,0,24917,2552,2.56,7,0,0,13734.50 ,2.33 ,0,1,61.35,0.037209302,0,0,0,0,0,0,0.168773199,0.019676024,0.209656085,0.003625065,0,0,0.099045566,0.000647249,0,1,0.358070047
28,0,0,0,0,0,0,5311,6355,3.64,0,0,0,5833.00 ,0.00 ,0,0,62.17,0.120930233,0,0,0,0,0,0,0.035973611,0.048997309,0.281084656,0,0,0,0.042064348,0,0,0,0.378153319
9,0,3,1,0,0,0,1340,1026,2.83,0,1,0,1183.00 ,0.00 ,1,0,51.26,0.03255814,0,0.428571429,0.142857143,0,0,0,0.009076377,0.007910502,0.227513228,0,0.5,0,0.008531137,0,1,0,0.110947832
15,0,0,0,0,0,0,1224,943,2.83,0,0,0,1083.50 ,0.00 ,0,0,56.26,0.060465116,0,0,0,0,0,0,0.008290661,0.007270568,0.227513228,0,0,0,0.007813599,0,0,0,0.233406809
31,0,5,1,3,3,0,14601,10445,5.27,0,1,157,12523.00 ,151.67 ,1,1,73.04,0.134883721,0,0.714285714,0.142857143,0.066666667,0.071428571,0,0.098898643,0.080531376,0.388888889,0,0.5,1,0.090308902,0.042071197,1,1,0.644379133
7,0,0,0,0,0,0,3292,0,2.83,0,0,0,1646.00 ,0.00 ,0,0,54.84,0.023255814,0,0,0,0,0,0,0.022298084,0,0.227513228,0,0,0,0.011870035,0,0,0,0.198628459
35,1,2,2,2,4,0,12538,10131,2.83,0,2,6,11334.50 ,105.67 ,1,1,72.48,0.153488372,1,0.285714286,0.285714286,0.044444444,0.095238095,0,0.084925086,0.078110423,0.227513228,0,1,0.038216561,0.081738102,0.029311142,1,1,0.630663728
9,0,0,0,1,0,0,6299,6736,2.83,0,0,1,6517.50 ,18.00 ,1,1,62.99,0.03255814,0,0,0,0.022222222,0,0,0.042665745,0.051934835,0.227513228,0,0,0.006369427,0.047000581,0.004993065,1,1,0.398236591
6,0,0,0,0,0,0,4003,3014,2.83,0,0,0,3508.50 ,0.00 ,0,0,51.21,0.018604651,0,0,0,0,0,0,0.027113983,0.023238063,0.227513228,0,0,0,0.025301348,0,0,0,0.109723243
33,0,0,0,1,0,0,1832,2216,2.83,0,0,1,2024.00 ,0.00 ,0,0,64.73,0.144186047,0,0,0,0.022222222,0,0,0.012408898,0.01708545,0.227513228,0,0,0.006369427,0.014595961,0,0,0,0.440852314
6,0,0,0,0,1,0,1641,1484,2.83,0,0,1,1562.50 ,0.00 ,0,0,62.27,0.018604651,0,0,0,0,0.023809524,0,0.011115175,0.011441701,0.227513228,0,0,0.006369427,0.01126788,0,0,0,0.380602498
3,0,0,0,0,0,0,3485,3939,2.83,0,0,0,3712.00 ,0.00 ,0,0,54.72,0.004651163,0,0,0,0,0,0,0.023605354,0.030369851,0.227513228,0,0,0,0.026768877,0,0,0,0.195689444
20,0,0,0,0,0,0,15065,7144,2.83,0,0,0,11104.50 ,0.00 ,0,0,55.08,0.08372093,0,0,0,0,0,0,0.102041507,0.055080531,0.227513228,0,0,0,0.08007947,0,0,0,0.20450649
54,0,3,0,0,0,0,147636,129701,2.83,962,0,0,138668.50 ,677.33 ,0,1,65.15,0.241860465,0,0.428571429,0,0,0,0,1,1,0.227513228,0.498187468,0,0,1,0.187887194,0,1,0.451138868
8,0,0,0,0,0,0,5983,3769,4.09,0,0,0,4876.00 ,0.00 ,0,0,51.59,0.027906977,0,0,0,0,0,0,0.040525346,0.029059144,0.310846561,0,0,0,0.035162997,0,0,0,0.119030125
10,0,0,0,0,0,0,5290,2373,4.09,0,0,0,3831.50 ,0.00 ,0,0,58.74,0.037209302,0,0,0,0,0,0,0.035831369,0.018295927,0.310846561,0,0,0,0.027630644,0,0,0,0.294146461
17,0,0,0,0,0,0,1438,1813,4.09,0,0,0,1625.50 ,0.00 ,0,0,59.04,0.069767442,0,0,0,0,0,0,0.009740172,0.013978304,0.310846561,0,0,0,0.011722201,0,0,0,0.301494
6,0,0,0,0,1,0,2518,3102,4.09,0,0,1,2810.00 ,0.00 ,0,0,57.54,0.018604651,0,0,0,0,0.023809524,0,0.017055461,0.023916547,0.310846561,0,0,0.006369427,0.020264155,0,0,0,0.264756307
20,0,5,0,0,0,0,6491,7006,4.09,0,0,0,6748.50 ,0.00 ,1,0,62.56,0.08372093,0,0.714285714,0,0,0,0,0.043966241,0.054016546,0.310846561,0,0,0,0.048666424,0,1,0,0.387705119
3,0,0,0,0,0,0,2361,2304,4.09,0,0,0,2332.50 ,0.00 ,0,0,54.23,0.004651163,0,0,0,0,0,0,0.015992034,0.017763934,0.310846561,0,0,0,0.016820691,0,0,0,0.183688464
28,0,0,1,0,2,0,19928,15987,4.09,0,0,2,17957.50 ,0.00 ,0,0,60.34,0.120930233,0,0,0.142857143,0,0.047619048,0,0.134980628,0.123260422,0.310846561,0,0,0.012738854,0.12949949,0,0,0,0.333333333
65,0,6,0,0,2,0,87882,88966,4.09,791,0,3,88424.00 ,802.33 ,0,1,72.23,0.293023256,0,0.857142857,0,0,0.047619048,0,0.595261318,0.685931489,0.310846561,0.409632315,0,0.01910828,0.637664646,0.222561258,0,1,0.624540779
9,0,0,0,0,2,0,3624,3263,4.09,0,0,5,3443.50 ,0.00 ,0,0,62.52,0.03255814,0,0,0,0,0.047619048,0,0.024546858,0.025157863,0.310846561,0,0,0.031847134,0.024832604,0,0,0,0.386725447
7,0,0,0,0,6,0,1424,1458,4.09,0,0,7,1441.00 ,0.00 ,0,0,61.06,0.023255814,0,0,0,0,0.142857143,0,0.009645344,0.011241239,0.310846561,0,0,0.044585987,0.01039169,0,0,0,0.350967426
16,0,3,1,0,0,0,2149,2587,4.09,0,1,0,2368.00 ,303.33 ,1,1,63.82,0.065116279,0,0.428571429,0.142857143,0,0,0,0.01455607,0.019945876,0.310846561,0,0.5,0,0.017076697,0.084142395,1,1,0.418564781
8,0,0,0,0,1,0,153,396,2.63,26,0,3,274.50 ,8.67 ,0,1,49.55,0.027906977,0,0,0,0,0.023809524,0,0.001036333,0.003053176,0.214285714,0.013464526,0,0.01910828,0.001979541,0.002404068,0,1,0.069066863
4,0,0,0,0,0,0,4373,2208,2.63,0,0,0,3290.50 ,0.00 ,0,0,52.05,0.009302326,0,0,0,0,0,0,0.029620147,0.01702377,0.214285714,0,0,0,0.023729254,0,0,0,0.130296351
9,0,1,1,2,3,0,7409,5009,2.63,0,1,5,6209.00 ,22.67 ,0,1,62.64,0.03255814,0,0.142857143,0.142857143,0.044444444,0.071428571,0,0.050184237,0.038619594,0.214285714,0,0.5,0.031847134,0.04477585,0.006287564,0,1,0.389664462
17,0,0,1,0,3,0,16973,5745,2.63,0,1,4,11359.00 ,43.67 ,1,1,66.13,0.069767442,0,0,0.142857143,0,0.071428571,0,0.114965185,0.044294184,0.214285714,0,0.5,0.025477707,0.081914782,0.012112806,1,1,0.475140828
18,1,1,1,0,5,0,1783,2788,5.36,0,1,12,2285.50 ,0.00 ,1,0,59.32,0.074418605,1,0.142857143,0.142857143,0,0.119047619,0,0.012077,0.021495594,0.39484127,0,0.5,0.076433121,0.016481753,0,1,0,0.308351702
10,0,3,2,1,3,0,1112,2244,5.36,33,0,5,1678.00 ,11.00 ,0,1,54.29,0.037209302,0,0.428571429,0.285714286,0.022222222,0.071428571,0,0.007532038,0.017301332,0.39484127,0.017089591,0,0.031847134,0.012100802,0.003051318,0,1,0.185157972
5,0,4,0,2,2,0,1834,1762,5.36,61,0,7,1798.00 ,77.67 ,0,1,56.29,0.013953488,0,0.571428571,0,0.044444444,0.047619048,0,0.012422444,0.013585092,0.39484127,0.03158985,0,0.044585987,0.012966175,0.021544152,0,1,0.234141563
8,0,1,1,5,4,0,3791,2702,5.36,39,1,25,3246.50 ,24.67 ,0,1,74.38,0.027906977,0,0.142857143,0.142857143,0.111111111,0.095238095,0,0.025678019,0.02083253,0.39484127,0.020196789,0.5,0.159235669,0.02341195,0.006842349,0,1,0.677198139
6,0,0,0,0,0,0,1331,1055,3.25,0,0,0,1193.00 ,0.00 ,0,0,53.63,0.018604651,0,0,0,0,0,0,0.009015416,0.008134093,0.255291005,0,0,0,0.008603252,0,0,0,0.168993387
7,0,0,2,0,0,0,1453,1370,3.25,0,0,0,1411.50 ,0.00 ,0,0,52.55,0.023255814,0,0,0.285714286,0,0,0,0.009841773,0.010562756,0.255291005,0,0,0,0.010178952,0,0,0,0.142542248
6,0,0,0,1,2,0,2796,960,3.27,0,0,3,1878.00 ,0.00 ,0,0,60.35,0.018604651,0,0,0,0.022222222,0.047619048,0,0.01893847,0.007401639,0.256613757,0,0,0.01910828,0.01354309,0,0,0,0.333578251
16,0,0,0,0,0,0,3041,2585,3.27,0,0,0,2813.00 ,0.00 ,0,0,60.89,0.065116279,0,0,0,0,0,0,0.020597957,0.019930455,0.256613757,0,0,0,0.020285789,0,0,0,0.346803821
16,0,4,0,0,0,0,1755,2019,6.16,0,0,0,1887.00 ,0.00 ,0,0,53.31,0.065116279,0,0.571428571,0,0,0,0,0.011887345,0.015566572,0.447751323,0,0,0,0.013607993,0,0,0,0.161156013
46,1,2,5,4,0,0,9058,6733,6.16,0,2,4,7895.50 ,122.00 ,1,1,73.18,0.204651163,1,0.285714286,0.714285714,0.088888889,0,0,0.061353599,0.051911705,0.447751323,0,1,0.025477707,0.056937949,0.033841886,1,1,0.647807984
11,0,0,0,0,0,0,2285,2258,6.16,0,0,0,2271.50 ,0.00 ,0,0,62.37,0.041860465,0,0,0,0,0,0,0.015477255,0.017409272,0.447751323,0,0,0,0.016380793,0,0,0,0.383051678
6,0,0,0,1,0,0,2447,1498,6.16,0,0,1,1972.50 ,0.00 ,0,0,62.23,0.018604651,0,0,0,0.022222222,0,0,0.016574548,0.011549641,0.447751323,0,0,0.006369427,0.014224572,0,0,0,0.379622826
10,0,0,0,0,0,0,2811,3123,5.25,0,0,0,2967.00 ,0.00 ,0,0,65.75,0.037209302,0,0,0,0,0,0,0.019040072,0.024078457,0.387566138,0,0,0,0.021396352,0,0,0,0.465833946
24,0,5,0,2,8,0,37105,21647,5.25,109,0,11,29376.00 ,130.00 ,1,1,65.89,0.102325581,0,0.714285714,0,0.044444444,0.19047619,0,0.251327589,0.166899253,0.387566138,0.056447437,0,0.070063694,0.211843353,0.036061026,1,1,0.469262797
19,0,6,0,0,0,0,3873,3578,4.52,11,0,0,3725.50 ,13.00 ,0,1,60.58,0.079069767,0,0.857142857,0,0,0,0,0.026233439,0.027586526,0.339285714,0.00569653,0,0,0.026866231,0.003606103,0,1,0.339211364
3,0,6,0,0,0,0,887,1202,4.52,0,0,0,1044.50 ,0.00 ,1,0,61.2,0.004651163,0,0.857142857,0,0,0,0,0.00600802,0.009267469,0.339285714,0,0,0,0.007532352,0,1,0,0.354396277
33,0,2,0,1,0,0,5597,6269,4.52,0,0,1,5933.00 ,47.67 ,0,1,72.36,0.144186047,0,0.285714286,0,0.022222222,0,0,0.037910808,0.048334246,0.339285714,0,0,0.006369427,0.042785492,0.013222376,0,1,0.627724712
22,0,4,0,1,1,0,5174,5716,4.52,0,0,3,5445.00 ,69.00 ,1,1,74.43,0.093023256,0,0.571428571,0,0.022222222,0.023809524,0,0.035045653,0.044070593,0.339285714,0,0,0.01910828,0.039266308,0.019140083,1,1,0.678422728
49,0,0,0,0,0,0,6612,5606,4.85,0,0,0,6109.00 ,74.00 ,0,1,70.75,0.218604651,0,0,0,0,0,0,0.044785825,0.043222489,0.361111111,0,0,0,0.044054706,0.020527046,0,1,0.588292922
5,0,0,0,0,0,0,5538,4738,4.85,0,0,0,5138.00 ,0.00 ,0,0,54.72,0.013953488,0,0,0,0,0,0,0.037511176,0.036530173,0.361111111,0,0,0,0.037052395,0,0,0,0.195689444
10,0,0,1,0,0,0,1350,1225,4.85,0,0,0,1287.50 ,48.67 ,0,1,70.37,0.037209302,0,0,0.142857143,0,0,0,0.009144111,0.0094448,0.361111111,0,0,0,0.009284733,0.013499769,0,1,0.57898604
13,1,4,2,1,0,0,3894,3453,4.62,174,2,1,3673.50 ,111.33 ,1,1,64.33,0.051162791,1,0.571428571,0.285714286,0.022222222,0,0,0.026375681,0.026622771,0.345899471,0.090108752,1,0.006369427,0.026491236,0.030883033,1,1,0.431055596
13,0,0,0,5,0,0,5245,4093,6.92,0,0,10,4669.00 ,212.00 ,0,1,50.53,0.051162791,0,0,0,0.111111111,0,0,0.035526565,0.031557197,0.498015873,0,0,0.063694268,0.033670228,0.058807212,0,1,0.093068822
31,1,6,4,19,3,0,1057,382,6.92,549,1,22,719.50 ,367.00 ,1,1,80.86,0.134883721,1,0.857142857,0.571428571,0.422222222,0.071428571,0,0.0071595,0.002945236,0.498015873,0.284308648,0.5,0.140127389,0.005188633,0.101803051,1,1,0.835904972
50,1,4,2,0,0,0,5894,9751,6.92,0,1,0,7822.50 ,0.00 ,1,0,69.72,0.223255814,1,0.571428571,0.285714286,0,0,0,0.039922512,0.075180608,0.498015873,0,0.5,0,0.056411514,0,1,0,0.563066373
4,0,0,0,0,0,0,2213,1698,6.92,0,0,0,1955.50 ,0.00 ,0,0,60.36,0.009302326,0,0,0,0,0,0,0.014989569,0.013091649,0.498015873,0,0,0,0.014101977,0,0,0,0.333823169
28,1,2,2,2,0,0,5747,4798,6.92,0,2,2,5272.50 ,36.67 ,1,1,54.87,0.120930233,1,0.285714286,0.285714286,0.044444444,0,0,0.03892682,0.036992776,0.498015873,0,1,0.012738854,0.038022334,0.010171059,1,1,0.199363213
12,1,4,2,1,2,0,5306,4080,6.92,64,2,3,4693.00 ,53.67 ,0,1,57.04,0.046511628,1,0.571428571,0.285714286,0.022222222,0.047619048,0,0.035939744,0.031456966,0.498015873,0.033143449,1,0.01910828,0.033843303,0.014886731,0,1,0.252510409
11,0,0,0,0,0,0,4799,5028,7.67,0,0,0,4913.50 ,0.00 ,0,0,60.84,0.041860465,0,0,0,0,0,0,0.032505622,0.038766085,0.547619048,0,0,0,0.035433426,0,0,0,0.345579231
9,0,0,0,0,0,0,6666,2058,6.22,0,0,0,4362.00 ,0.00 ,0,0,50.4,0.03255814,0,0,0,0,0,0,0.045151589,0.015867264,0.451719577,0,0,0,0.031456315,0,0,0,0.089884889
