T_07,T_32,T_39,T_43,T_46,T_47,T_50,T_56,T_79,T_80,T_81,T_82,T_83,T_101,T_111,T_115,T_SC
0.4 ,6,17,0,1,0,0,2518,7,0,0,1,2810.00 ,0.00 ,0,0,57.54
1.8 ,20,16,5,3,0,0,6491,9,0,1,0,6748.50 ,0.00 ,1,0,62.56
0.6 ,3,18,0,1,0,0,2361,8,0,0,0,2332.50 ,0.00 ,0,0,54.23
0.8 ,28,20,0,3,1,0,19928,9,0,0,2,17957.50 ,0.00 ,0,0,60.34
1.2 ,65,25,6,4,0,0,87882,8,0,1,3,88424.00 ,808.00 ,0,1,72.23
0.4 ,9,22,0,1,0,0,3624,9,0,0,5,3443.50 ,0.00 ,0,0,62.52
0.6 ,7,28,0,2,0,0,1424,7,0,0,7,1441.00 ,0.00 ,0,0,61.06
1.4 ,16,27,3,3,1,0,2149,7,1,1,0,2368.00 ,455.00 ,1,1,63.82
0.2 ,8,15,0,0,0,0,153,7,0,0,3,274.50 ,0.00 ,0,1,49.55
0.4 ,4,14,0,1,0,0,4373,5,0,0,0,3290.50 ,0.00 ,0,0,52.05
1.0 ,9,16,1,2,1,2,7409,5,1,1,5,6209.00 ,34.00 ,0,1,62.64
1.2 ,17,24,0,12,1,0,16973,4,1,1,4,11359.00 ,65.50 ,1,1,66.13
1.2 ,18,6,1,4,1,0,1783,9,1,1,12,2285.50 ,0.00 ,1,0,59.32
1.0 ,10,5,3,2,2,1,1112,8,0,0,5,1678.00 ,0.00 ,0,1,54.29
1.0 ,5,21,4,1,0,2,1834,7,0,1,7,1798.00 ,86.00 ,0,1,56.29
1.0 ,8,42,1,6,1,5,3791,9,1,1,25,3246.50 ,17.50 ,0,1,74.38
0.4 ,6,13,0,1,0,0,1331,5,0,0,0,1193.00 ,0.00 ,0,0,53.63
0.4 ,7,16,0,1,2,0,1453,6,0,0,0,1411.50 ,0.00 ,0,0,52.55
0.6 ,6,23,0,2,0,1,2796,5,0,0,3,1878.00 ,0.00 ,0,0,60.35
0.4 ,16,16,0,1,0,0,3041,9,0,0,0,2813.00 ,0.00 ,0,0,60.89
1.0 ,16,23,4,2,0,0,1755,9,0,0,0,1887.00 ,0.00 ,0,0,53.31
1.2 ,46,30,2,4,5,4,9058,7,1,1,4,7895.50 ,183.00 ,1,1,73.18
0.8 ,11,27,0,2,0,0,2285,7,0,0,0,2271.50 ,0.00 ,0,0,62.37
0.8 ,6,20,0,2,0,1,2447,8,0,0,1,1972.50 ,0.00 ,0,0,62.23
0.6 ,10,27,0,2,0,0,2811,8,0,0,0,2967.00 ,0.00 ,0,0,65.75
1.8 ,24,11,5,4,0,2,37105,9,0,1,11,29376.00 ,140.50 ,1,1,65.89
1.2 ,19,17,6,3,0,0,3873,9,0,1,0,3725.50 ,14.00 ,0,1,60.58
1.8 ,3,23,6,3,0,0,887,9,0,0,0,1044.50 ,0.00 ,1,0,61.2
1.0 ,33,22,2,3,0,1,5597,9,0,0,1,5933.00 ,71.50 ,0,1,72.36
1.8 ,22,24,4,3,0,1,5174,8,0,1,3,5445.00 ,103.50 ,1,1,74.43
0.8 ,49,57,0,4,0,0,6612,5,0,1,0,6109.00 ,111.00 ,0,1,70.75
0.4 ,5,4,0,1,0,0,5538,7,0,0,0,5138.00 ,0.00 ,0,0,54.72
0.6 ,10,34,0,4,1,0,1350,7,0,0,0,1287.50 ,73.00 ,0,1,70.37
1.8 ,13,6,4,4,2,1,3894,9,1,1,1,3673.50 ,80.00 ,1,1,64.33
0.4 ,13,10,0,2,0,5,5245,4,0,0,10,4669.00 ,318.00 ,0,1,50.53
1.8 ,31,21,6,5,4,19,1057,8,1,1,22,719.50 ,276.00 ,1,1,80.86
1.4 ,50,14,4,5,2,0,5894,7,1,1,0,7822.50 ,0.00 ,1,0,69.72
0.4 ,4,22,0,1,0,0,2213,8,0,0,0,1955.50 ,0.00 ,0,0,60.36
1.2 ,28,12,2,5,2,2,5747,6,1,1,2,5272.50 ,55.00 ,1,1,54.87
1.0 ,12,9,4,3,2,1,5306,6,1,1,3,4693.00 ,48.50 ,0,1,57.04
0.4 ,11,27,0,2,0,0,4799,6,0,0,0,4913.50 ,0.00 ,0,0,60.84
0.4 ,9,4,0,2,0,0,6666,6,0,0,0,4362.00 ,0.00 ,0,0,50.4
0.6 ,9,46,0,1,0,1,6941,7,0,0,1,6664.50 ,0.00 ,0,0,64.86
0.6 ,4,28,0,3,0,0,337,6,0,0,3,615.50 ,142.50 ,0,1,59.92
1.8 ,17,8,5,4,1,3,3327,8,1,1,27,3523.50 ,455.50 ,1,1,64.1
1.4 ,207,20,3,14,3,9,60966,5,1,1,47,53316.50 ,234.00 ,1,1,85.55
0.8 ,4,27,0,2,0,0,946,8,0,0,0,909.50 ,0.00 ,0,0,63.66
0.6 ,7,2,0,2,0,0,0,12,0,0,0,0.00 ,67.50 ,0,1,62.3
1.8 ,11,12,5,2,2,0,1724,8,1,1,2,1711.00 ,60.00 ,1,1,70
0.4 ,4,3,0,1,0,0,88,6,0,0,1,81.00 ,0.00 ,0,0,52.71
1.4 ,174,32,3,1,4,13,109541,9,1,1,35,88294.00 ,253.50 ,1,1,73.1
0.4 ,7,10,0,1,0,0,427,6,0,0,0,378.00 ,0.00 ,0,0,58.69
1.2 ,5,25,5,1,0,0,729,9,0,0,0,908.50 ,0.00 ,0,1,63.69
0.8 ,14,9,0,2,0,0,1050,9,0,0,3,1386.00 ,199.50 ,0,1,57.17
1.4 ,76,5,4,11,1,0,43107,7,1,1,5,31557.50 ,58.00 ,1,1,64.27
0.2 ,6,20,0,0,0,0,900,7,0,0,0,929.50 ,0.00 ,0,0,52.95
0.4 ,10,20,0,2,0,1,6515,9,0,0,1,4641.50 ,0.00 ,0,0,64.2
0.4 ,12,27,0,1,0,0,1113,9,0,0,0,2335.00 ,0.00 ,0,0,52.47
0.4 ,5,12,0,1,0,0,1944,9,0,0,0,1952.00 ,0.00 ,0,0,57.11
1.8 ,12,16,4,3,1,0,2716,7,1,1,0,3254.50 ,0.00 ,1,1,65.99
1.2 ,27,36,1,5,4,6,4960,6,1,1,12,3070.50 ,0.00 ,1,0,76.03
0.8 ,13,16,0,4,1,1,7552,9,0,0,1,7068.00 ,0.00 ,0,0,63.34
1.0 ,6,4,3,2,0,0,744,7,0,0,0,1077.50 ,12.50 ,0,1,58.88
1.8 ,13,20,5,3,2,2,3154,9,0,1,2,3085.00 ,0.00 ,1,0,74.65
1.8 ,6,28,5,3,1,2,218,9,1,1,3,261.50 ,0.00 ,1,0,75.35
1.2 ,24,5,2,12,1,1,9,7,1,1,2,21.00 ,101.00 ,1,1,74.17
1.8 ,54,5,5,46,1,2,1,8,1,1,6,1.00 ,5146.50 ,1,1,69.14
0.4 ,4,7,0,1,0,1,1527,7,1,1,8,1958.50 ,0.00 ,0,0,59.92
1.4 ,25,21,4,8,3,1,3727,9,1,1,9,2797.00 ,287.00 ,1,1,82.28
1.2 ,20,19,2,4,4,3,7776,6,0,1,4,7958.00 ,2.50 ,1,1,67.35
1.0 ,8,17,3,2,0,0,4161,8,0,1,0,4425.50 ,116.50 ,0,1,65.91
0.6 ,7,22,0,2,0,0,1238,8,0,0,0,1142.50 ,0.00 ,0,0,59.94
0.4 ,5,5,0,1,0,0,10856,7,0,0,0,10941.50 ,0.00 ,0,0,50.44
0.8 ,5,26,0,2,0,1,5168,3,0,0,1,2584.00 ,0.00 ,0,0,73.05
1.4 ,6,21,3,1,0,1,1846,7,0,1,1,1840.50 ,0.00 ,1,0,57.5
0.4 ,67,27,0,4,0,0,17752,8,0,0,0,16462.00 ,0.00 ,0,0,63.65
0.4 ,24,32,0,2,0,0,6353,8,0,0,0,6239.50 ,0.00 ,0,0,56.91
