T_07,T_19,T_28,T_32,T_39,T_43,T_46,T_47,T_79,T_80,T_82,T_83,T_101,T_111,T_115,T_SC
0.6 ,2.64,5.04,17,15,0,1,1,9,0,7,5114.00 ,2.50 ,0,1,62.02
0.4 ,2.64,4.32,6,26,0,1,3,7,0,2,1056.50 ,3.50 ,0,1,65.66
0.6 ,3.52,4.32,13,30,0,4,0,5,0,2,2927.50 ,0.00 ,0,0,64.5
1.2 ,2.64,4.32,16,11,1,5,3,5,1,0,8456.00 ,107.50 ,1,1,66.35
0.4 ,0.88,4.32,6,23,0,1,2,8,0,0,5810.00 ,0.00 ,0,0,54.82
1.6 ,3.52,5.76,73,32,3,15,2,8,0,21,10601.50 ,62.50 ,1,1,82.24
1.0 ,1.76,4.32,11,29,4,2,0,8,1,1,5013.50 ,0.00 ,0,0,68.6
1.0 ,2.64,4.32,10,14,1,1,0,9,0,0,2334.50 ,0.00 ,0,0,56.67
0.4 ,2.64,4.32,9,17,0,1,5,8,0,0,1517.00 ,7.00 ,0,1,59.88
0.6 ,1.76,4.32,16,40,0,3,1,6,0,0,5264.50 ,13.50 ,0,1,65.36
1.2 ,3.52,4.32,139,16,2,8,3,4,1,97,72922.50 ,544.50 ,1,1,77.63
1.0 ,3.52,4.32,53,36,1,5,1,9,1,3,6592.50 ,40.00 ,0,1,71.29
0.4 ,2.64,4.32,10,6,0,1,2,9,1,1,14258.50 ,0.00 ,0,0,63.51
1.0 ,2.2,4.32,14,12,3,1,4,8,1,2,3513.00 ,41.50 ,0,1,60.58
1.0 ,3.52,4.32,5,11,4,2,4,8,0,6,666.00 ,6.50 ,0,1,67.08
0.4 ,1.76,4.32,20,11,0,2,0,9,0,0,20759.00 ,0.00 ,0,0,57.85
0.4 ,2.64,4.32,6,5,0,1,0,8,0,0,2893.50 ,0.00 ,0,0,56.05
0.4 ,0.88,4.32,8,9,0,1,1,7,0,0,7844.50 ,0.00 ,0,0,56.11
1.0 ,2.64,4.32,11,5,3,5,1,7,0,3,2209.00 ,30.00 ,0,1,63.17
1.4 ,2.64,4.32,10,31,3,5,3,7,1,6,7645.50 ,135.50 ,1,1,73.55
0.4 ,2.64,5.76,4,17,0,1,0,8,0,0,4572.00 ,0.00 ,0,0,62.9
0.6 ,1.76,4.32,4,6,0,2,1,9,0,0,4755.00 ,2.00 ,0,1,53.81
0.6 ,0.88,4.32,9,18,0,3,2,6,0,1,1405.50 ,0.00 ,0,0,60.11
1.0 ,2.64,4.32,25,19,0,2,4,7,1,2,1233.50 ,0.00 ,0,0,60.6
1.0 ,2.64,5.76,22,17,4,3,1,8,0,0,5106.50 ,185.50 ,0,1,68.2
0.4 ,1.76,4.32,14,4,0,1,0,7,0,0,6098.50 ,0.00 ,0,0,54.66
0.6 ,1.76,4.32,10,6,0,3,5,8,0,2,1748.50 ,0.00 ,0,0,56.85
0.4 ,1.76,2.88,12,14,0,1,0,7,0,1,681.50 ,0.00 ,0,0,52.59
0.4 ,2.64,4.32,12,34,0,2,1,9,0,0,638.00 ,0.00 ,0,0,67.92
1.8 ,2.64,4.32,80,31,4,5,1,9,0,1,36440.50 ,0.00 ,1,0,72.04
0.8 ,2.64,4.32,17,24,0,2,3,8,0,1,2271.50 ,0.00 ,0,0,64.9
1.2 ,3.52,4.32,87,23,2,7,1,9,0,29,23273.00 ,85.00 ,1,1,74.9
0.4 ,2.64,5.76,12,13,0,1,1,9,0,0,1227.00 ,0.00 ,0,0,60.31
1.4 ,3.52,5.76,62,22,3,18,6,8,1,61,17698.00 ,996.00 ,1,1,77.92
1.8 ,3.52,5.76,6,17,5,2,2,9,1,11,355.00 ,1.00 ,1,1,74.81
0.6 ,1.76,4.32,5,17,0,4,1,7,0,0,657.50 ,0.00 ,0,0,61.01
0.6 ,2.64,4.32,9,7,0,4,2,7,1,3,851.00 ,20.00 ,0,1,57.58
0.6 ,2.64,3.6,12,5,0,4,0,7,0,5,4847.00 ,0.00 ,0,0,52.16
1.8 ,2.64,4.32,79,34,5,6,2,8,1,9,12282.00 ,0.00 ,1,1,66.34
1.0 ,2.64,4.32,4,14,2,2,0,8,0,2,5094.00 ,91.50 ,0,1,58.56
1.0 ,2.64,4.32,40,25,3,2,3,9,1,5,5225.50 ,208.00 ,0,1,65.26
1.2 ,3.52,6.48,4,6,0,3,1,4,1,2,2262.50 ,0.00 ,1,0,63.08
0.4 ,1.76,4.32,7,25,0,1,0,8,0,1,1167.00 ,1.50 ,0,1,55.08
0.6 ,2.64,4.32,4,21,0,2,0,8,0,3,1922.50 ,0.00 ,0,0,63.05
0.4 ,2.64,4.32,5,19,0,1,0,6,0,0,1048.50 ,0.00 ,0,0,57.68
0.6 ,1.76,4.32,10,32,0,2,0,7,0,0,13734.50 ,0.00 ,0,1,61.35
0.4 ,1.76,4.32,28,32,0,1,0,9,0,0,5833.00 ,0.00 ,0,0,62.17
1.4 ,0.88,4.32,9,11,3,3,1,6,1,0,1183.00 ,0.00 ,1,0,51.26
0.4 ,2.64,4.32,15,33,0,1,0,8,0,0,1083.50 ,0.00 ,0,0,56.26
1.8 ,2.64,5.76,31,24,5,6,1,8,1,157,12523.00 ,227.50 ,1,1,73.04
0.4 ,1.76,4.32,7,17,0,1,0,3,0,0,1646.00 ,0.00 ,0,0,54.84
1.2 ,3.52,5.76,35,14,2,3,2,5,1,6,11334.50 ,158.50 ,1,1,72.48
1.2 ,3.52,5.76,9,9,0,4,0,6,0,1,6517.50 ,27.00 ,1,1,62.99
0.4 ,0.88,4.32,6,22,0,1,0,5,0,0,3508.50 ,0.00 ,0,0,51.21
0.4 ,2.64,4.32,33,34,0,1,0,8,0,1,2024.00 ,0.00 ,0,0,64.73
0.6 ,2.64,5.76,6,22,0,4,0,9,0,1,1562.50 ,0.00 ,0,0,62.27
0.4 ,1.76,4.32,3,26,0,1,0,8,0,0,3712.00 ,0.00 ,0,0,54.72
0.4 ,2.64,4.32,20,8,0,2,0,7,0,0,11104.50 ,0.00 ,0,0,55.08
1.0 ,1.76,4.32,54,24,3,11,0,6,0,0,138668.50 ,535.00 ,0,1,65.15
0.6 ,1.76,4.32,8,19,0,3,0,8,0,0,4876.00 ,0.00 ,0,0,51.59
