T_01,T_07,T_09,T_10,T_11,T_32,T_35,T_37,T_39,T_43,T_46,T_47,T_50,T_53,T_55,T_65,T_66,T_67,T_68,T_69,T_71,T_78,T_80,T_81,T_82,T_83,T_88,T_99,T_106,T_110,T_SC
3.3,1.2 ,1.04,1.61,0.23,8,1,0,11,2,2,1,0,0,0,71,0,0,1.04,1.03,6.5,5,1,1,0,1252.00 ,161.00 ,23.67 ,1,1,62.76
3.3,0.4 ,0.78,1.38,0.92,3,0,0,10,0,1,0,1,0,0,0,0,0,1.04,1.03,0,0,0,0,1,42.50 ,-74.33 ,0.00 ,0,0,52.67
2.64,0.6 ,1.3,1.15,0.23,6,0,0,8,0,3,0,0,0,0,0,0,0,1.04,1.03,0,0,0,0,0,2802.00 ,98.00 ,0.00 ,0,0,55.02
4.62,1.4 ,0.78,1.38,1.15,24,1,0,23,4,2,2,1,2,0,0,0,0,1.04,1.03,0,6,1,1,6,14273.00 ,234.33 ,0.00 ,1,0,60.39
4.62,1.8 ,1.04,1.38,1.38,13,1,0,22,4,2,1,3,0,0,133,60,1,1.04,1.03,15.85,7,1,1,3,731.00 ,-461.33 ,64.67 ,1,1,68.21
5.28,0.4 ,0.52,1.84,1.38,11,0,0,30,0,1,0,3,0,0,0,0,0,1.04,1.03,0,0,0,0,3,3748.50 ,112.33 ,0.00 ,0,0,60.38
3.3,0.6 ,1.04,0.92,0.92,6,0,0,14,0,2,0,1,0,0,0,0,0,1.04,1.03,0,0,0,0,1,1819.00 ,151.33 ,0.00 ,0,0,59.12
3.3,0.4 ,0.78,0.23,0.23,26,0,0,11,0,1,0,0,0,0,0,0,0,1.04,1.03,0,0,0,0,0,2926.50 ,253.00 ,0.00 ,0,0,57.22
2.64,0.4 ,0.78,0.23,0.23,5,0,0,9,0,2,0,0,0,0,0,0,0,1.04,1.03,0,0,0,0,0,876.50 ,74.67 ,0.00 ,0,0,58.22
5.94,1.2 ,1.82,1.15,0.23,28,0,0,34,2,5,0,0,0,0,0,0,0,1.04,1.03,0,5,0,1,0,8242.00 ,1234.67 ,0.00 ,1,0,68.89
3.3,1.0 ,1.04,1.15,1.38,10,1,0,10,0,2,1,2,0,0,0,0,0,0.71,0.73,0,0,1,1,6,776.50 ,-17.00 ,0.00 ,0,0,58.35
1.98,0.4 ,0.78,0.46,0.23,9,0,0,6,0,1,1,0,0,0,3,0,0,0,0.38,0.06,0,0,1,0,3666.00 ,160.67 ,1.00 ,0,1,52.13
5.28,0.4 ,0.78,0.23,0.23,7,0,0,29,0,1,0,0,0,0,0,0,0,0,0.38,0,0,0,0,0,1283.00 ,44.00 ,0.00 ,0,0,56.68
2.64,1.0 ,2.08,1.38,0.23,101,0,0,9,1,6,0,0,0,0,0,0,6,0,0.38,0,0,0,0,0,38914.00 ,2419.67 ,2.00 ,0,1,61.86
3.96,0.6 ,2.08,1.38,1.61,10,0,0,19,0,5,0,4,1,0,0,0,0,0.73,0.67,0,0,0,0,5,3800.00 ,682.67 ,0.00 ,0,0,72.69
3.3,1.0 ,1.3,1.38,1.15,12,0,0,10,3,3,3,2,3,0,56,0,7,1.22,1.14,1.96,0,0,1,5,2449.00 ,435.67 ,21.00 ,0,1,62.99
4.62,1.0 ,1.56,1.61,1.38,27,0,0,20,4,4,0,3,0,0,3,2,11,0.38,0.34,0.2,0,0,1,3,1406.50 ,66.33 ,5.33 ,0,1,65.01
4.62,0.4 ,1.04,1.38,0.23,19,0,0,21,0,2,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,2674.50 ,176.00 ,0.00 ,0,0,62.08
4.62,0.4 ,0.52,0.23,0.23,5,0,0,22,0,1,0,0,0,0,0,0,0,0,0.24,0,0,0,0,0,4159.00 ,144.67 ,0.00 ,0,0,57.18
5.28,0.6 ,1.04,1.61,0.92,13,0,0,26,0,2,0,1,0,0,0,0,0,0,0.59,0,0,0,0,1,1230.50 ,176.00 ,0.00 ,0,0,63.75
2.64,0.6 ,1.04,1.61,0.23,9,0,0,7,0,2,4,0,0,0,0,31,60,0,0.59,0,0,0,0,0,6229.00 ,314.67 ,30.33 ,0,1,62.95
5.28,1.2 ,2.6,1.38,1.15,142,0,0,30,2,7,4,2,0,0,395,41,0,0,0.59,0.36,4,0,1,2,96900.50 ,6185.00 ,145.33 ,1,1,75.86
5.94,0.6 ,1.82,1.38,0.23,7,0,0,32,0,5,0,0,0,0,0,0,0,0,0.24,0,0,0,0,0,3121.50 ,65.67 ,0.00 ,0,0,68.14
4.62,0.6 ,0.78,0.92,0.23,4,0,0,20,0,1,0,0,0,0,0,0,0,0,0.59,0,0,0,0,0,1046.00 ,11.00 ,0.00 ,0,0,64.49
6.6,1.2 ,1.3,1.84,0.92,15,1,0,39,6,3,2,1,1,0,0,93,94,0.71,0.57,0,0,1,1,2,3461.50 ,198.00 ,62.33 ,0,1,68.99
5.94,0.8 ,1.04,0.69,0.23,6,0,0,32,0,2,0,0,0,0,0,0,0,0.59,0.58,0,0,0,0,0,1841.50 ,166.67 ,0.00 ,0,0,58.91
3.3,0.4 ,0.52,1.15,0.92,5,0,0,12,0,1,3,1,0,0,0,0,0,0.59,0.58,0,0,0,0,1,2542.00 ,216.33 ,0.00 ,0,0,52.6
3.3,0.4 ,0.52,0.92,0.23,12,0,0,12,0,1,1,0,0,0,0,0,0,0.59,0.58,0,0,0,0,0,8740.00 ,258.33 ,0.00 ,0,0,60.45
3.96,0.6 ,1.04,0.92,0.23,8,0,0,16,0,3,0,0,0,0,0,0,0,0.24,0.28,0,0,0,0,0,7230.50 ,293.00 ,0.00 ,0,0,61.57
6.6,0.4 ,0.78,0.92,0.46,8,0,0,40,0,2,0,0,0,0,0,0,0,2.23,2.44,0,0,0,0,0,2304.50 ,68.67 ,0.00 ,0,0,61.72
5.94,0.4 ,1.04,1.84,0.46,32,0,0,31,0,2,0,0,1,0,0,0,0,0.24,0.28,0,0,0,0,1,33299.50 ,1166.00 ,0.00 ,0,0,72.09
5.28,1.0 ,0.78,0.23,0.92,14,0,0,29,2,1,0,1,0,0,45,48,0,0,0.9,0.73,0,0,1,1,5262.00 ,134.00 ,31.00 ,0,1,58.73
3.96,1.0 ,1.04,1.38,1.15,3,0,0,17,2,2,0,2,0,0,0,0,0,0,0.9,0,0,0,0,2,337.00 ,66.00 ,0.00 ,0,0,70.43
5.28,0.4 ,0.78,0.23,0.23,6,0,0,26,0,1,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,1277.50 ,63.33 ,0.00 ,0,0,58.53
5.28,0.8 ,1.3,1.38,0.23,11,0,0,28,0,4,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,1487.50 ,128.67 ,0.00 ,0,0,62.47
5.28,0.4 ,0.78,0.23,0.23,17,0,0,26,0,1,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,1989.50 ,73.00 ,0.00 ,0,0,57.96
5.28,0.4 ,0.52,0.46,0.23,9,0,0,29,0,1,1,0,0,0,0,0,0,0,0.9,0,0,0,0,0,3077.00 ,513.67 ,0.00 ,0,0,67.09
4.62,1.0 ,0.78,0.92,0.92,6,1,0,23,0,1,2,1,0,0,41,58,37,0,0.9,4.99,0,1,1,1,986.50 ,49.33 ,45.33 ,0,1,61.35
4.62,0.6 ,1.04,0.92,0.23,10,0,0,23,0,2,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,3353.00 ,153.67 ,0.00 ,0,0,60.77
5.94,0.4 ,0.78,0.23,0.23,6,0,0,32,0,1,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,1924.00 ,153.67 ,0.00 ,0,0,58.17
2.64,0.4 ,1.56,1.15,0.23,11,0,0,9,0,4,1,0,0,0,0,0,0,0,2.11,0,0,0,0,0,6971.50 ,131.33 ,0.00 ,0,0,53.03
3.96,1.2 ,1.56,1.38,0.23,12,0,0,15,0,4,0,0,0,0,0,0,0,0,0.9,0,3,0,1,0,2066.50 ,147.33 ,0.00 ,1,0,66.98
5.28,0.6 ,0.52,0.92,0.23,13,0,0,29,0,1,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,1348.00 ,126.33 ,0.00 ,0,0,63.43
1.32,1.4 ,1.04,1.61,1.84,4,1,0,3,3,3,2,5,0,0,64,43,0,0.9,0.9,9.65,5,1,1,9,621.50 ,-47.00 ,35.67 ,1,1,59.61
6.6,0.6 ,1.04,0.92,0.92,16,0,0,44,0,2,0,1,0,0,0,0,0,0,0.9,0,0,0,0,1,1538.00 ,137.67 ,0.00 ,0,0,67.78
4.62,0.4 ,0.78,0.92,0.23,7,0,0,24,0,1,0,0,0,0,0,0,0,0.9,0.9,0,0,0,0,0,1728.00 ,36.00 ,0.00 ,0,0,58.05
6.6,1.2 ,1.56,1.61,1.15,21,1,1,41,2,4,2,2,0,0,20,19,0,0,0.9,0.38,4,1,1,2,4240.50 ,245.67 ,13.00 ,1,1,67.98
5.94,1.4 ,2.08,2.3,0.92,17,0,0,33,4,6,3,1,0,0,0,0,0,0,0.9,0,6,0,1,1,6536.00 ,199.67 ,0.00 ,1,0,72.62
3.96,1.0 ,0.52,1.15,2.07,16,1,1,17,4,1,2,6,0,0,0,6,0,0.9,0.9,0,0,1,1,9,6502.50 ,176.00 ,2.00 ,0,1,58.96
4.62,0.8 ,1.56,1.61,1.15,32,1,0,20,0,4,4,2,0,0,64,7,0,0.9,0.9,0.91,0,1,1,2,5153.00 ,251.33 ,23.67 ,0,1,70.82
5.94,0.4 ,0.78,0.92,0.23,5,0,0,34,0,1,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,776.50 ,158.00 ,0.00 ,0,0,65.48
3.96,0.8 ,1.3,1.84,1.84,9,1,0,19,0,4,1,5,1,0,0,22,58,0,0.9,0,0,1,1,9,4884.00 ,358.00 ,26.67 ,0,1,65.45
5.94,0.4 ,0.52,0.92,0.23,5,0,0,36,0,1,0,0,0,0,1,0,0,0,0.9,0.14,0,0,1,0,683.50 ,86.33 ,0.33 ,0,1,67.48
5.94,0.4 ,0.78,0.46,0.23,22,0,0,37,0,1,1,0,0,0,0,0,0,0.9,0.9,0,0,0,0,0,3539.50 ,529.00 ,0.00 ,0,0,66.21
5.28,0.6 ,0.78,1.15,0.23,5,0,0,27,0,2,0,0,0,0,44,0,0,0.9,0.9,8.46,0,0,1,0,260.00 ,13.33 ,14.67 ,0,1,66.09
5.94,1.0 ,1.3,1.15,1.15,8,0,1,34,0,4,1,2,0,0,0,14,80,2.23,2.44,0,0,1,1,2,2061.50 ,178.67 ,31.33 ,0,1,72.89
5.28,0.6 ,1.04,0.92,0.92,6,0,0,28,0,2,0,1,0,0,0,0,0,0.9,0.9,0,0,0,0,1,845.50 ,103.00 ,0.00 ,0,0,65.89
3.96,0.8 ,1.56,1.38,1.15,29,1,1,19,0,4,4,2,0,0,8,56,53,0.9,0.9,0.19,0,1,1,2,4855.50 ,216.33 ,39.00 ,0,1,63.18
4.62,0.4 ,1.04,1.61,0.23,8,0,0,22,0,2,0,0,0,0,0,0,0,0.9,0.9,0,0,0,0,0,1172.50 ,114.00 ,0.00 ,0,0,63.41
3.96,1.0 ,1.82,1.38,0.23,16,0,0,16,1,5,0,0,0,0,107,120,0,0.9,0.9,2.1,0,0,1,0,5897.50 ,621.33 ,75.67 ,0,1,70.06
5.28,0.4 ,0.78,0.23,0.23,11,0,0,29,0,1,0,0,0,0,0,0,0,0.9,0.9,0,0,0,0,0,1549.50 ,142.00 ,0.00 ,0,0,68.22
5.28,1.0 ,1.3,1.15,0.92,30,1,0,30,1,3,1,1,0,0,0,0,0,0.9,0.9,0,0,1,1,1,7759.00 ,196.67 ,0.00 ,0,0,64.1
5.28,0.8 ,1.04,1.15,2.3,15,1,0,26,0,3,3,9,2,0,0,0,0,0.9,0.9,0,0,1,1,11,3416.00 ,309.00 ,0.00 ,0,0,73.09
5.28,0.4 ,0.78,0.23,0.23,8,0,0,26,0,2,0,0,0,0,0,0,0,0.9,0.9,0,0,0,0,0,1258.00 ,155.33 ,0.00 ,0,0,67.01
3.3,1.0 ,2.08,1.15,1.15,28,1,0,11,0,5,4,2,0,0,0,0,0,0.9,0.9,0,0,1,1,2,5258.00 ,103.00 ,0.00 ,0,0,66.7
5.28,1.2 ,2.08,1.61,0.92,99,0,1,27,7,6,4,1,0,0,19,9,15,0.9,0.9,0.03,0,1,1,1,73568.50 ,11073.33 ,14.33 ,0,1,75.38
3.96,1.0 ,0.78,0.92,0.92,6,0,0,18,1,2,0,1,0,0,5,0,0,0.9,0.9,0.24,0,0,1,1,1695.50 ,160.67 ,1.67 ,0,1,65.55
4.62,1.2 ,1.3,1.38,0.92,34,0,0,24,1,4,0,1,0,0,0,0,0,0.9,0.9,0,3,0,1,1,4030.50 ,256.00 ,0.00 ,1,0,73.02
3.96,1.0 ,1.3,2.07,2.07,11,1,0,16,3,4,1,7,0,0,115,70,41,0.9,0.9,3.48,0,1,1,7,2924.50 ,21.33 ,75.33 ,0,1,76.52
3.96,0.8 ,1.56,0.92,0.23,9,0,0,18,0,7,0,0,0,0,0,0,0,4,4.25,0,0,0,0,0,661.50 ,68.67 ,0.00 ,0,0,63.05
5.28,1.0 ,0.78,0.23,0.69,16,0,0,26,1,1,0,0,0,0,50,41,104,4,4.25,2.08,0,0,1,0,2159.50 ,47.67 ,65.00 ,0,1,59.96
3.96,1.2 ,1.82,2.3,2.07,17,1,0,18,2,5,4,7,2,0,95,42,16,3.89,4,1.83,4,1,1,9,4157.50 ,496.33 ,51.00 ,1,1,70.33
3.3,0.4 ,0.52,1.84,1.38,10,0,1,10,0,1,4,3,3,0,147,239,241,0,4,0.26,0,1,1,6,44348.50 ,491.00 ,209.00 ,0,1,65.81
3.96,0.4 ,0.78,1.38,0.23,9,0,0,17,0,1,0,0,0,0,0,0,0,0,2.76,0,0,0,0,0,5086.50 ,217.33 ,0.00 ,0,0,65.25
3.3,1.0 ,0.52,0.46,0.92,6,1,0,13,2,1,1,1,0,0,0,0,0,0,10.39,0,0,1,1,1,591.50 ,14.00 ,0.00 ,0,0,57.55
5.28,1.4 ,1.3,2.3,1.15,9,1,1,26,3,3,3,2,0,0,180,143,155,0,10.39,7.19,5,1,1,2,2124.00 ,61.67 ,159.33 ,1,1,69.99
4.62,1.4 ,1.3,1.61,1.15,6,1,0,23,4,3,1,2,0,0,0,0,0,0,10.39,0,6,1,1,2,1512.50 ,36.00 ,0.00 ,1,0,64.74
4.62,0.8 ,1.04,1.38,1.15,5,0,0,20,0,2,0,2,0,0,0,0,0,0,4,0,0,0,0,2,3923.00 ,115.33 ,0.00 ,0,0,62.07
5.28,0.4 ,1.04,1.38,0.92,24,0,0,30,0,2,0,1,0,0,0,0,72,0,4.25,0,0,0,0,1,7884.50 ,201.33 ,24.00 ,0,1,67.29
4.62,1.8 ,0.78,0.23,0.92,3,0,0,24,5,1,0,1,0,0,156,156,95,0,10.39,11.01,7,0,1,1,1151.00 ,-19.33 ,135.67 ,1,1,60.85
4.62,0.6 ,0.78,1.61,0.23,11,0,0,22,0,2,0,0,0,0,0,0,0,0,4.25,0,0,0,0,0,951.50 ,-12.67 ,0.00 ,0,0,62.25
5.28,0.4 ,0.78,1.61,0.23,20,0,0,27,0,1,0,0,0,0,0,0,0,0,4.25,0,0,0,0,0,3217.50 ,106.67 ,0.00 ,0,0,65.19
3.96,1.2 ,1.04,1.38,0.23,9,0,0,17,6,2,0,0,0,0,149,95,102,4.25,4.38,10.57,0,0,1,0,1438.00 ,284.67 ,115.33 ,0,1,64.58
3.96,1.8 ,2.08,1.61,0.23,10,0,0,17,6,5,4,0,0,0,267,155,98,0,10.39,16.9,8,0,1,0,2572.50 ,-363.67 ,173.33 ,1,1,67.03
4.62,1.2 ,2.34,1.61,1.61,12,1,0,21,2,7,1,2,1,0,202,218,0,0,4.25,6.74,4,1,1,3,1991.50 ,115.33 ,140.00 ,1,1,75.15
2.64,1.2 ,0.78,0.46,0.92,6,1,0,7,0,1,1,1,1,0,0,0,0,10.39,10.44,0,3,1,1,2,3094.50 ,140.00 ,0.00 ,1,0,57.86
5.28,1.4 ,2.34,1.61,1.15,20,1,0,25,3,6,1,2,0,0,282,300,23,10.39,10.44,5.25,6,1,1,2,5687.50 ,122.00 ,201.67 ,1,1,63.73
5.94,0.6 ,0.78,0.92,0.23,45,0,0,36,0,2,0,0,0,0,0,0,0,4.25,4.38,0,0,0,0,0,5457.50 ,173.33 ,0.00 ,0,0,62.37
4.62,1.0 ,1.56,1.38,1.61,7,0,0,21,3,4,0,4,0,0,0,0,0,0.18,0.17,0,0,0,0,5,680.50 ,-35.33 ,0.00 ,0,0,63.44
4.62,0.6 ,1.3,1.38,0.23,10,0,0,21,0,3,0,0,0,0,0,0,0,0.17,0.18,0,0,0,0,0,2190.50 ,57.67 ,0.00 ,0,0,64.34
3.96,0.6 ,1.56,0.23,0.23,26,0,0,16,0,5,0,0,0,0,0,5,4,4.25,4.38,0,0,0,0,0,10733.00 ,310.67 ,3.00 ,0,1,54.41
5.28,1.4 ,1.56,1.38,2.07,30,1,0,28,3,4,1,7,1,0,0,0,29,5.34,5.16,0,5,1,1,8,2418.50 ,320.33 ,9.67 ,1,1,77.16
5.28,1.2 ,1.82,1.38,0.92,23,0,0,28,2,4,0,1,0,0,443,668,0,0,5.16,10.57,4,0,1,1,4159.00 ,993.00 ,370.33 ,1,1,79.64
2.64,1.2 ,0.78,2.07,1.84,5,1,1,7,1,3,6,5,0,0,87,99,351,0,5.16,8.18,4,1,1,7,737.50 ,-187.67 ,179.00 ,1,1,64.49
3.96,0.6 ,1.04,0.92,0.23,5,0,0,18,0,3,0,0,0,0,0,0,0,0,5.16,0,0,0,0,0,665.50 ,17.33 ,0.00 ,0,0,65.44
4.62,1.8 ,1.3,2.07,1.15,9,1,0,23,5,3,2,1,1,0,222,214,153,0,5.16,43.27,7,1,1,2,486.50 ,-505.33 ,196.33 ,1,1,74.62
3.3,1.8 ,1.04,1.61,0.92,19,1,1,13,4,2,3,1,0,0,13,0,0,0,5.16,0.97,7,1,1,1,1230.00 ,-124.00 ,4.33 ,1,1,63.62
5.28,1.2 ,1.82,1.15,2.07,26,0,1,27,1,5,2,8,0,0,149,0,0,0,5.16,0.55,3,1,1,8,13661.50 ,5095.33 ,49.67 ,1,1,77.73
1.98,1.0 ,1.3,0.92,0.92,7,0,0,4,2,3,0,1,0,0,50,62,120,5.16,5.13,0.79,0,0,1,1,4910.50 ,-120.67 ,77.33 ,0,1,55.43
3.3,0.4 ,1.04,0.46,0.23,19,0,0,13,0,2,0,0,0,0,0,0,0,5.16,5.13,0,0,0,0,0,5601.50 ,1358.67 ,0.00 ,0,0,64.21
2.64,0.6 ,1.04,1.15,0.23,7,0,0,8,0,4,0,0,0,0,0,0,0,0,1.22,0,0,0,0,0,714.00 ,58.00 ,0.00 ,0,0,57.36
5.28,0.4 ,0.78,0.23,0.23,5,0,0,26,0,1,0,0,0,0,0,0,0,5.16,5.13,0,0,0,0,0,1177.00 ,42.00 ,0.00 ,0,0,62.48
5.28,1.8 ,1.3,1.38,0.92,14,1,0,25,5,3,1,1,0,0,194,92,7,5.16,5.13,6.19,8,1,1,1,2469.00 ,374.67 ,97.67 ,1,1,69.36
3.96,1.8 ,2.34,1.84,2.3,29,1,1,17,4,8,2,15,0,0,1289,985,428,0,5.16,8.11,7,1,1,18,10456.50 ,224.67 ,900.67 ,1,1,68.99
3.96,1.4 ,2.08,1.38,1.15,12,0,0,17,3,5,0,2,0,0,178,123,11,5.16,5.13,5.7,6,0,1,2,3159.50 ,130.67 ,104.00 ,1,1,64.72
5.94,1.2 ,1.3,0.92,0.23,20,0,0,33,2,3,0,0,0,0,116,30,0,5.16,5.13,2.15,5,0,1,0,4969.00 ,139.33 ,48.67 ,1,1,68.58
5.28,1.0 ,1.3,0.92,0.23,60,1,1,29,2,4,4,0,0,0,171,49,0,5.16,5.13,0.91,0,1,1,0,17366.00 ,809.67 ,73.33 ,0,1,68.67
3.96,1.4 ,1.04,1.38,0.92,15,1,0,19,3,3,1,1,0,0,194,139,71,0.5,0.6,2.58,5,1,1,1,5834.50 ,359.33 ,134.67 ,1,1,72.97
2.64,0.8 ,1.04,0.46,0.23,7,1,0,9,0,3,1,0,0,0,42,28,54,2.13,1.97,3.96,0,1,1,0,868.50 ,53.33 ,41.33 ,0,1,56.19
3.3,0.4 ,0.78,1.61,1.61,5,0,0,13,0,1,0,3,0,0,0,0,19,1.94,2.18,0,0,0,0,10,3226.50 ,167.33 ,6.33 ,0,1,54.27
4.62,1.2 ,0.78,1.38,1.84,5,1,0,21,2,2,1,5,3,0,16,74,59,2.13,1.97,1.27,4,1,1,8,1133.50 ,114.33 ,49.67 ,1,1,61.95
5.28,0.6 ,1.04,0.92,0.23,5,0,0,26,0,2,0,0,0,0,0,0,0,0,2.64,0,0,0,0,0,622.50 ,2.00 ,0.00 ,0,0,61.89
3.3,1.4 ,1.3,1.15,0.46,15,1,0,12,3,3,4,0,1,0,126,109,45,0,1.97,1.14,5,1,1,1,10100.50 ,176.67 ,93.33 ,1,1,69.69
4.62,1.8 ,2.34,2.3,2.3,17,1,0,23,4,7,1,16,1,0,193,267,420,0,2.64,183.81,7,1,1,19,233.00 ,-1321.33 ,293.33 ,1,1,72.1
4.62,0.6 ,0.52,2.07,2.3,2,0,0,21,0,1,5,24,5,0,0,0,0,0,1.55,0,0,0,0,34,448.00 ,26.00 ,0.00 ,0,0,68.44
4.62,0.8 ,1.04,0.69,0.23,13,0,0,21,0,2,0,0,0,0,0,0,0,2.64,2.87,0,0,0,0,0,3218.00 ,168.67 ,0.00 ,0,0,64.46
4.62,1.8 ,2.6,2.3,2.07,36,1,1,23,5,17,4,7,0,0,630,136,416,0,1.97,102.94,7,1,1,8,397.00 ,-942.33 ,394.00 ,1,1,87.56
3.96,1.0 ,1.3,2.3,1.38,19,0,0,15,2,3,0,2,0,0,42,0,62,2.18,2.13,1.06,0,0,1,5,4672.00 ,212.00 ,34.67 ,0,1,63.44
3.96,1.0 ,0.52,0.92,0.23,8,0,0,15,1,2,0,0,0,0,0,0,0,0,2.64,0,0,0,0,0,3059.50 ,105.67 ,0.00 ,0,0,58.08
5.28,0.8 ,1.3,1.61,0.92,7,0,0,25,0,3,0,1,0,0,0,0,0,0,2.64,0,0,0,0,1,1815.50 ,109.00 ,0.00 ,0,0,65.03
1.98,0.4 ,0.78,1.15,0.23,12,1,0,5,0,1,1,0,0,0,0,0,0,0,1.97,0,0,1,1,0,1557.50 ,22.33 ,0.00 ,0,0,51.83
3.3,1.0 ,1.3,1.84,1.84,16,1,1,11,2,3,3,4,1,0,0,0,0,0,1.97,0,0,1,1,9,4682.50 ,250.67 ,0.00 ,0,0,63.04
1.32,1.0 ,0.52,0.46,0.92,9,,0,2,2,1,0,1,0,0,0,0,0,2.64,2.87,0,0,0,0,1,751.50 ,83.33 ,0.00 ,0,0,54.32
3.96,1.4 ,1.04,1.15,2.3,27,1,1,17,4,3,4,10,2,0,55,279,0,1.97,1.62,0.56,6,1,1,13,10681.00 ,318.67 ,111.33 ,1,1,65.37
5.94,0.6 ,1.04,1.15,1.84,41,1,0,35,0,2,1,5,0,0,1,0,3,1.97,1.62,0.01,0,1,1,6,7420.00 ,-1.00 ,1.33 ,0,1,69
1.98,1.0 ,0.78,0.46,0.23,25,1,0,5,0,2,1,0,0,0,0,0,0,2.64,2.87,0,0,1,1,0,1773.50 ,61.67 ,0.00 ,0,0,52.81
5.28,1.0 ,1.04,0.46,0.23,15,1,0,27,0,2,1,0,0,0,0,0,0,2.64,2.87,0,0,1,1,0,4532.00 ,1020.00 ,0.00 ,0,0,69.62
5.28,1.4 ,1.3,1.15,0.23,10,0,0,25,3,5,0,0,0,0,0,0,0,1.97,1.62,0,6,0,1,0,1023.50 ,39.33 ,0.00 ,1,0,66.37
4.62,1.8 ,1.04,1.38,1.84,12,1,0,21,4,3,2,5,0,0,0,75,0,2.64,2.87,0,7,1,1,5,1184.00 ,-50.00 ,25.00 ,1,1,68.72
3.3,1.0 ,1.3,1.84,1.38,7,1,1,14,0,4,2,2,4,0,0,0,0,1.97,1.62,0,0,1,1,7,1212.50 ,29.00 ,0.00 ,0,0,65.36
4.62,1.2 ,0.78,1.84,1.61,4,0,0,20,5,2,0,4,0,0,20,0,0,1.97,1.62,1.72,0,0,1,8,1285.00 ,126.00 ,6.67 ,0,1,71.23
5.28,1.4 ,1.3,1.15,2.3,15,0,1,26,3,3,2,13,0,0,142,216,285,1.97,1.62,3.12,6,1,1,13,4904.50 ,499.00 ,214.33 ,1,1,78.4
5.94,1.2 ,1.04,1.38,0.23,5,0,0,37,7,2,1,0,0,0,0,0,0,2.64,2.87,0,0,0,0,0,381.50 ,72.67 ,0.00 ,0,0,65.36
4.62,1.2 ,0.52,1.15,1.84,8,1,0,20,2,2,1,4,3,0,62,10,0,2.18,2.13,12.18,5,1,1,13,896.00 ,54.33 ,24.00 ,1,1,66.96
6.6,1.0 ,1.04,1.38,1.15,6,0,0,38,4,2,0,2,0,0,0,0,0,1.59,1.55,0,0,0,0,2,2507.00 ,358.33 ,0.00 ,0,0,68.93
5.28,0.4 ,0.78,0.23,0.23,5,0,0,30,0,1,0,0,0,0,0,0,0,2.21,2.23,0,0,0,0,0,457.50 ,78.67 ,0.00 ,0,0,58.21
5.94,0.8 ,0.78,1.38,0.23,6,0,0,37,0,1,0,0,0,0,0,0,0,1.59,1.55,0,0,0,0,0,1146.00 ,75.33 ,0.00 ,0,0,63.12
6.6,1.2 ,1.04,1.61,1.15,7,1,0,41,2,2,2,2,0,0,30,2,556,0,2.23,0.16,4,1,1,2,12401.50 ,312.33 ,196.00 ,1,1,70.56
3.3,1.4 ,1.82,1.84,1.61,10,1,0,12,3,4,1,3,2,0,226,20,215,0,1.55,12.58,5,1,1,5,2326.00 ,-149.00 ,153.67 ,1,1,75.86
3.3,1.8 ,1.3,2.07,2.07,7,1,0,12,5,3,2,7,0,0,404,164,253,0,1.55,10.24,7,1,1,7,2756.50 ,316.67 ,273.67 ,1,1,73.16
5.28,1.2 ,1.3,1.61,0.92,14,0,1,26,0,3,3,1,0,0,217,100,0,0,2.23,5.37,3,1,1,1,2921.50 ,104.00 ,105.67 ,1,1,76.57
5.28,0.4 ,0.78,0.23,0.23,14,0,0,28,0,1,0,0,0,0,0,31,0,0,1.55,0,0,0,0,0,3066.00 ,24.67 ,10.33 ,0,1,57.22
5.94,0.4 ,1.04,0.92,0.23,10,0,0,35,0,2,2,0,0,0,0,0,0,0,2.23,0,0,0,0,0,1538.00 ,67.33 ,0.00 ,0,0,61.48
3.3,1.0 ,1.3,0.92,1.61,10,0,0,12,3,4,0,4,0,0,46,0,0,0,2.23,1.01,0,0,1,5,3816.50 ,103.33 ,15.33 ,0,1,57.67
6.6,0.4 ,0.78,0.23,0.23,6,0,0,47,0,1,0,0,0,0,0,0,0,0,2.23,0,0,0,0,0,858.50 ,-4.67 ,0.00 ,0,0,60.48
4.62,0.8 ,2.08,0.92,1.15,11,0,0,24,0,5,0,2,0,0,0,0,0,0,2.23,0,0,0,0,2,1517.00 ,123.00 ,0.00 ,0,0,63.25
4.62,1.0 ,1.3,1.38,1.15,12,0,0,20,0,3,0,2,0,0,0,0,0,0,1.55,0,0,0,0,2,2892.00 ,373.00 ,0.00 ,0,0,61.99
5.28,1.2 ,1.3,1.61,0.92,11,1,0,28,1,3,3,1,2,0,229,0,0,0,2.23,10.22,3,1,1,3,1120.00 ,115.67 ,76.33 ,1,1,72.52
3.3,0.8 ,2.34,1.15,0.23,11,1,1,14,0,6,2,0,0,0,20,84,131,0,2.23,0.63,0,1,1,0,6326.50 ,134.67 ,78.33 ,0,1,62.59
