T_01,T_07,T_09,T_10,T_11,T_32,T_35,T_37,T_39,T_43,T_46,T_47,T_50,T_53,T_55,T_65,T_66,T_67,T_68,T_69,T_71,T_78,T_80,T_81,T_82,T_83,T_88,T_99,T_106,T_110,T_SC
4.62,1.4 ,2.6,1.38,2.3,62,1,1,22,3,18,6,17,41,0,1277,715,528,0.6,0.64,6.17,6,1,1,61,17698.00 ,1711.00 ,840.00 ,1,1,77.92
3.96,1.8 ,0.78,1.61,1.84,6,1,0,17,5,2,2,3,8,0,0,2,73,0.6,0.64,0,8,1,1,11,355.00 ,-88.00 ,25.00 ,1,1,74.81
3.96,0.6 ,1.3,0.92,0.23,5,0,0,17,0,4,1,0,0,0,0,0,0,0.6,0.64,0,0,0,0,0,657.50 ,67.67 ,0.00 ,0,0,61.01
2.64,0.6 ,0.78,1.61,0.69,9,1,0,7,0,4,2,0,3,0,23,17,3,0.18,0.19,1.96,0,1,1,3,851.00 ,-705.33 ,14.33 ,0,1,57.58
1.98,0.6 ,1.56,0.23,0.69,12,0,0,5,0,4,0,0,3,0,0,0,0,0,0.6,0,0,0,0,5,4847.00 ,115.67 ,0.00 ,0,0,52.16
5.94,1.8 ,1.82,1.15,1.61,79,1,1,34,5,6,2,3,6,0,0,0,249,0,0.6,0,8,1,1,9,12282.00 ,312.33 ,83.00 ,1,1,66.34
3.3,1.0 ,0.78,0.92,0.92,4,0,0,14,2,2,0,1,1,0,97,86,11,0,0.6,1.63,0,0,1,2,5094.00 ,215.00 ,64.67 ,0,1,58.56
5.28,1.0 ,0.78,1.38,1.15,40,0,1,25,3,2,3,2,2,0,69,347,0,0,0.6,1.2,0,1,1,5,5225.50 ,249.67 ,138.67 ,0,1,65.26
1.98,1.2 ,1.3,1.15,0.92,4,1,0,6,0,3,1,1,1,0,0,0,0,0,0.6,0,3,1,1,2,2262.50 ,251.33 ,0.00 ,1,0,63.08
5.28,0.4 ,0.78,2.07,0.92,7,0,0,25,0,1,0,1,0,0,1,2,0,0.6,0.6,0.09,0,0,1,1,1167.00 ,38.33 ,1.00 ,0,1,55.08
4.62,0.6 ,1.04,1.61,1.38,4,0,0,21,0,2,0,3,0,0,0,0,0,0,0.71,0,0,0,0,3,1922.50 ,21.00 ,0.00 ,0,0,63.05
3.96,0.4 ,0.78,0.46,0.23,5,0,0,19,0,1,0,0,0,0,0,0,0,0,0.71,0,0,0,0,0,1048.50 ,18.33 ,0.00 ,0,0,57.68
5.94,0.6 ,0.78,0.46,0.23,10,0,0,32,0,2,0,0,0,0,0,0,7,0.6,0.68,0,0,0,0,0,13734.50 ,5238.33 ,2.33 ,0,1,61.35
5.94,0.4 ,0.78,0.23,0.23,28,0,0,32,0,1,0,0,0,0,0,0,0,0.71,0.75,0,0,0,0,0,5833.00 ,86.67 ,0.00 ,0,0,62.17
3.3,1.4 ,1.3,0.69,0.23,9,1,0,11,3,3,1,0,0,0,0,0,0,0.46,0.64,0,5,1,1,0,1183.00 ,-60.33 ,0.00 ,1,0,51.26
5.94,0.4 ,0.78,0.23,0.23,15,0,0,33,0,1,0,0,0,0,0,0,0,0,0.64,0,0,0,0,0,1083.50 ,69.00 ,0.00 ,0,0,56.26
4.62,1.8 ,1.3,1.61,2.3,31,1,0,24,5,6,1,3,3,0,337,118,0,0,0.46,2.31,8,1,1,157,12523.00 ,356.00 ,151.67 ,1,1,73.04
3.96,0.4 ,0.78,0.92,0.23,7,0,0,17,0,1,0,0,0,0,0,0,0,0,0.64,0,0,0,0,0,1646.00 ,124.67 ,0.00 ,0,0,54.84
3.3,1.2 ,1.3,1.61,1.38,35,1,1,14,2,3,2,2,4,0,185,132,0,0,0.64,1.48,4,1,1,6,11334.50 ,1802.33 ,105.67 ,1,1,72.48
2.64,1.2 ,0.78,0.92,0.92,9,0,0,9,0,4,0,1,0,0,0,54,0,0,0.64,0,2,0,1,1,6517.50 ,732.00 ,18.00 ,1,1,62.99
4.62,0.4 ,0.78,0.92,0.23,6,0,0,22,0,1,0,0,0,0,0,0,0,0,0.64,0,0,0,0,0,3508.50 ,-25.00 ,0.00 ,0,0,51.21
5.94,0.4 ,0.78,0.92,0.92,33,0,0,34,0,1,0,1,0,0,0,0,0,0,0.64,0,0,0,0,1,2024.00 ,152.33 ,0.00 ,0,0,64.73
4.62,0.6 ,1.3,0.23,0.46,6,0,0,22,0,4,0,0,1,0,0,0,0,0,0.64,0,0,0,0,1,1562.50 ,21.33 ,0.00 ,0,0,62.27
5.28,0.4 ,0.78,1.84,0.23,3,0,0,26,0,1,0,0,0,0,0,0,0,0,0.64,0,0,0,0,0,3712.00 ,219.67 ,0.00 ,0,0,54.72
2.64,0.4 ,0.78,0.23,0.23,20,0,0,8,0,2,0,0,0,0,0,0,0,0,0.64,0,0,0,0,0,11104.50 ,300.67 ,0.00 ,0,0,55.08
4.62,1.0 ,2.6,0.92,0.23,54,0,0,24,3,11,0,0,0,0,1070,0,962,0,0.64,0.72,0,0,1,0,138668.50 ,12930.00 ,677.33 ,0,1,65.15
3.96,0.6 ,1.3,0.92,0.23,8,0,0,19,0,3,0,0,0,0,0,0,0,0.64,0.51,0,0,0,0,0,4876.00 ,122.67 ,0.00 ,0,0,51.59
