region,num_household_member,labor_income,business_income,property_income,other_income,income_tax_deduction,living_asset,basic_property_amt,debt,general_property,general_property_deduction,fin_property,fin_property_deduction,car,rec_amt_income,target_mul,target_yn
1,1,15240331,899999,183333,323180,221000,19769500,99000000,0,1407032398,0,6844000,5000000,0,372180,1,1
2,1,0,0,0,516513,60000,0,80000000,0,14261650,0,28289000,0,0,456513,1,1
2,1,4139383,0,0,323180,0,6859950,80000000,0,87900000,0,1817000,1600000,0,323180,1,1
2,1,5982290,0,0,383180,60000,2492800,80000000,0,62500000,3362043,1329000,0,0,323180,1,1
2,2,9658119,0,0,871220,0,6992000,80000000,0,491736000,0,1776000,0,0,871220,2,1
1,2,7016667,0,324333,873640,0,32496650,99000000,0,0,0,42423000,0,0,1197973,0,0
3,1,0,0,1150000,60000,60000,3547600,77000000,0,648726298,0,29263000,0,0,0,1,1
3,1,0,0,0,60000,60000,0,77000000,0,0,0,26238000,0,0,0,1,1
3,1,0,0,0,726360,403180,2156500,77000000,0,0,0,1090000,500000,0,323180,1,1
1,1,4263551,0,85000,495090,0,58425000,99000000,0,188866875,0,30526000,200000,0,580090,1,1
3,1,6200844,0,0,323180,0,183375000,77000000,5600000,0,0,12160000,0,0,323180,1,1
1,1,17660927,7500000,8333,323180,0,84200000,99000000,0,1034051860,0,16083000,0,0,323180,1,1
2,1,0,0,0,422860,403180,0,80000000,0,0,0,454000,0,0,19680,1,1
1,1,2629503,258333,0,40000,360870,4750000,99000000,0,81800000,10000000,6662000,6200000,0,282030,1,1
2,2,8577504,0,0,200000,200000,6194000,80000000,0,314298667,0,23960000,500000,0,0,2,1
2,1,0,0,0,59680,40000,0,80000000,0,0,0,2679000,0,0,19680,1,1
1,1,0,0,0,0,0,0,99000000,0,0,0,0,0,0,0,1,1
2,2,1787398,0,0,403180,403180,5097700,80000000,0,0,0,612000,0,0,0,2,1
3,3,3013360,0,0,0,1225550,3800000,77000000,0,252663948,0,23208333,7100000,0,1787810,0,0
3,1,0,0,0,136752,60000,0,77000000,0,0,0,100000,0,0,76752,1,1
1,1,0,0,0,323180,0,26780500,99000000,0,7340000,7340000,13498000,0,0,323180,1,1
3,2,1950000,0,0,200000,200000,9393600,77000000,0,102677863,0,19623000,2391000,0,0,2,1
2,1,0,0,0,133162,0,0,80000000,2232000,0,0,0,0,0,133162,1,1
3,1,1268020,0,0,323180,0,0,77000000,540000,501100000,0,12869000,0,0,323180,1,1
3,1,4731667,0,0,0,216000,0,77000000,0,0,0,11266000,0,0,504000,1,1
3,2,8412499,0,0,577080,60000,8425550,77000000,0,701520645,0,32755000,0,0,517080,2,1
3,1,0,0,0,479932,403180,196000000,77000000,0,65250000,0,8618000,0,0,76752,1,1
3,1,12101139,0,0,963340,0,0,77000000,0,163481123,0,13738000,0,0,963340,0,0
3,1,0,0,0,323180,0,2850000,77000000,9819000,199487369,0,182000,0,0,323180,1,1
1,1,16358311,0,0,323180,0,406141818,99000000,0,0,0,18911920,5000000,0,323180,1,1
2,3,700600,0,0,400000,648790,19000000,80000000,35397000,107724475,86587725,13321000,0,0,451810,3,1
1,1,0,0,0,60000,60000,1615000,99000000,0,0,0,0,0,0,0,1,1
1,1,0,0,0,0,0,0,99000000,0,5720625,0,2807250,400000,0,0,1,1
2,1,0,0,0,323180,0,4750000,80000000,0,0,0,4077000,0,0,323180,1,1
3,1,0,0,0,323180,0,0,77000000,0,0,0,2511000,0,0,323180,1,1
3,1,0,0,0,0,0,3752500,77000000,2388000,0,0,8582000,4650000,0,0,1,1
3,3,2883000,0,0,323180,1144900,0,77000000,69260000,96800000,0,18848000,1240000,0,2061280,0,0
2,2,0,0,42250,949900,0,59700000,80000000,8000000,174000000,174000000,27872000,800000,0,992150,2,1
2,1,5583331,0,0,343180,343180,0,80000000,0,470500001,0,2634000,0,0,0,1,1
3,2,8060500,2483333,297583,799140,0,0,77000000,0,1151190456,0,80027000,36381000,0,830056,2,1
1,2,0,0,0,323180,0,1767000,99000000,0,0,0,1307000,0,0,323180,2,1
3,2,83333,0,0,200000,225000,3800000,77000000,2960000,1000000,0,14077333,0,0,58333,2,1
3,2,110000,0,1416,383180,93000,7271300,77000000,3200000,0,0,51935000,10000000,0,401596,2,1
3,1,1350000,0,0,0,405000,0,77000000,0,0,0,1319390,0,0,945000,0,0
3,1,838000,0,0,0,251400,4037500,77000000,0,0,0,0,0,0,586600,1,1
1,1,442720,0,0,0,132816,0,99000000,0,33250000,0,7050000,6000000,0,309904,1,1
1,1,1350000,0,0,0,405000,0,99000000,0,0,0,755000,0,0,945000,0,0
3,2,6408333,0,0,323180,0,0,77000000,0,590600385,0,8410000,0,0,323180,2,1
1,1,817350,0,0,0,245205,3800000,99000000,0,1900000,0,5201000,0,0,572145,1,1
3,1,0,0,0,60000,60000,0,77000000,0,0,0,1778000,1500000,0,0,1,1
1,1,0,0,0,80000,60000,0,99000000,0,0,0,0,0,0,20000,1,1
1,1,0,0,0,403180,403180,0,99000000,0,0,0,313000,0,0,0,1,1
3,1,0,0,0,538570,60000,0,77000000,0,47806999,0,224000,0,0,478570,1,1
3,4,1042000,0,0,0,347190,116000000,77000000,69000000,0,0,33027667,0,0,694810,4,1
3,1,3500000,0,0,60000,1250000,0,77000000,53759000,70000000,0,65096000,0,0,2310000,0,0
3,1,5036471,0,0,0,560064,38000000,77000000,0,139033333,0,18465000,3300000,0,1105566,0,0
3,2,0,50000,0,0,15000,4750000,77000000,0,0,0,1165000,0,0,35000,2,1
3,1,0,0,0,60000,60000,2375000,77000000,0,0,0,104000,0,0,0,1,1
3,2,2972884,0,0,0,41865,4037500,77000000,0,314700001,0,0,0,0,97686,2,1
3,2,1384560,0,0,300000,764740,4465000,77000000,0,2470000,0,11641000,0,0,919820,2,1
2,1,0,0,0,0,0,950000,80000000,40000000,173296800,168394829,12233740,0,0,0,1,1
3,1,0,0,0,60000,60000,2375000,77000000,0,0,0,775490,0,0,0,1,1
3,1,3683333,91667,725000,323180,0,0,77000000,0,393900000,0,475000,0,0,323180,1,1
3,1,1404000,0,0,0,421200,6270000,77000000,0,0,0,1015000,0,0,982800,0,0
2,1,897750,0,0,0,316575,5604050,80000000,28500000,0,0,38358667,1530000,0,581175,1,1
1,1,1025000,0,0,403180,403180,4404200,99000000,0,75978900,0,6062544,5737544,0,0,1,1
1,2,4975000,0,0,0,472500,201328500,99000000,0,0,0,339000,100000,0,1102500,2,1
3,1,0,0,0,0,0,0,77000000,0,0,0,454000,0,0,0,1,1
3,2,0,0,0,914900,200000,28500000,77000000,0,0,0,41686000,6200000,0,714900,2,1
3,1,0,0,0,0,0,0,77000000,0,0,0,185000,0,0,0,1,1
3,1,600000,0,0,323180,0,28500000,77000000,0,1612500,0,0,0,0,323180,1,1
2,1,0,0,10416,343180,343180,0,80000000,0,0,0,56649000,0,0,10416,1,1
3,3,14001429,0,0,60000,60000,3325000,77000000,0,17500000,17500000,12450000,0,0,0,3,1
3,2,1958333,0,0,633950,587500,0,77000000,73808000,207000000,0,29174000,0,0,5861281,0,0
3,1,8160338,0,0,383180,60000,171985500,77000000,630000,63200000,0,8415000,0,0,323180,1,1
2,1,0,0,0,323180,0,78000000,80000000,82388000,64600000,0,9828000,0,0,323180,1,1
1,1,0,0,0,323180,0,9025000,99000000,0,0,0,1377000,0,0,323180,1,1
3,2,4236835,0,0,877510,40000,1900000,77000000,0,4540000,0,127000,0,0,837510,2,1
3,1,4716881,1333333,0,307500,0,72300000,77000000,0,128911232,0,2113000,0,0,307500,1,1
3,2,641200,0,0,0,0,11552000,77000000,0,0,0,1703000,0,0,641200,2,1
3,1,0,141667,0,347500,40000,106000000,77000000,0,10679040,0,82375000,33822046,0,307500,1,1
3,1,2891667,0,0,0,0,2137500,77000000,0,0,0,1300100,0,0,0,1,1
3,1,18136569,525000,39916,435490,221000,128000000,77000000,0,599348099,0,38366000,0,0,3002934,0,0
3,1,0,0,0,0,0,665000,77000000,0,2002480,0,557000,0,0,0,1,1
3,1,5991145,0,0,300000,522408,0,77000000,0,16813213,0,33534000,0,0,1518952,0,0
3,2,3804300,766667,0,582160,260460,9500000,77000000,0,2530000,0,1658000,0,0,1189900,0,0
3,1,8562687,0,0,322020,0,1900000,77000000,20617000,258221777,0,4636000,0,0,322020,1,1
3,1,2132249,0,0,0,0,2375000,77000000,0,2000000,0,19317000,0,0,0,1,1
3,3,0,0,0,380000,380000,15000500,77000000,4600000,200333511,14250000,7905000,440000,0,0,3,1
2,1,0,0,0,204200,0,0,80000000,4500000,0,0,6611000,0,0,204200,1,1
3,1,0,0,0,383180,60000,1985500,77000000,0,0,0,279000,0,0,323180,1,1
1,1,0,0,0,0,0,0,99000000,0,0,0,0,0,0,0,1,1
2,1,2136360,0,0,323180,0,20900000,80000000,0,367010625,0,3264000,0,0,323180,1,1
1,1,4094732,0,0,441611,80670,0,99000000,2200000,86499999,0,6470000,0,0,629841,1,1
1,2,4300000,208333,0,534760,0,13148000,99000000,1653000,141000000,0,3434000,0,0,534760,2,1
3,2,5822910,0,0,343365,0,0,77000000,0,792207248,0,0,0,0,343365,2,1
1,2,9053460,0,0,546540,0,211974450,99000000,6980000,674833633,14628000,15371000,3000000,0,546540,2,1
3,1,270000,0,0,40000,40000,3325000,77000000,0,1000000,0,2676000,0,0,0,1,1
3,1,0,0,0,40000,40000,2974450,77000000,0,0,0,5409000,1440000,0,0,1,1
3,2,6492895,0,0,799620,781137,44650000,77000000,70000000,186882940,0,23997000,0,0,368483,2,1
3,1,3570000,0,0,0,186000,9500000,77000000,0,0,0,18192000,3000000,0,434000,1,1
3,1,9299666,175000,0,307500,0,136000000,77000000,0,38183200,0,5200000,0,0,307500,1,1
3,1,18100576,0,0,497733,0,0,77000000,0,748147427,0,15840000,5580000,0,497733,1,1
3,2,2471999,0,200000,300000,273562,0,77000000,0,196640000,0,13202000,0,0,234271,2,1
3,4,1250000,0,0,0,375000,0,77000000,0,5700000,0,8636000,2020000,0,875000,4,1
2,1,0,0,0,323180,0,0,80000000,0,3616267,0,3450000,0,0,323180,1,1
2,2,0,0,0,323180,0,0,80000000,0,0,0,1743000,990000,0,323180,2,1
3,1,207000,0,0,0,0,2166000,77000000,0,0,0,731000,0,0,0,1,1
1,2,0,0,0,0,77625,4823150,99000000,0,0,0,5817000,2300000,0,0,2,1
3,1,19742120,0,0,383180,60000,20206500,77000000,0,170600000,0,4829190,0,0,323180,1,1
2,1,17342904,0,0,323180,0,146073250,80000000,0,3977988,0,31401000,0,0,323180,1,1
3,4,2385000,16667,450000,0,702000,19000000,77000000,0,552830071,0,66225000,6200000,0,1638000,4,1
1,2,8337922,0,0,403180,589180,4512500,99000000,13673000,0,0,4844000,1690000,0,434000,2,1
1,1,17449517,0,1433333,383180,60000,9500000,99000000,0,784585806,0,148000,0,0,323180,1,1
3,1,1725180,0,0,0,564024,33250000,77000000,0,0,0,8190000,1180000,0,1161156,0,0
3,1,0,0,0,0,0,5700000,77000000,7550000,0,0,5120000,4910000,0,0,1,1
1,1,0,0,0,323180,0,0,99000000,935000,0,0,3673000,270000,0,323180,1,1
3,3,719420,0,0,400000,637861,22640000,77000000,0,0,0,5847000,157000,0,481559,3,1
3,1,850000,0,0,0,255000,5801650,77000000,0,0,0,236000,0,0,595000,1,1
3,1,1341180,0,0,155825,402354,0,77000000,0,0,0,0,0,0,1094651,0,0
3,1,4287926,316667,0,520360,0,59050000,77000000,0,167000000,0,38783000,1860000,0,520360,1,1
3,2,0,0,0,100000,100000,38000000,77000000,0,0,0,39689000,2780000,0,0,2,1
3,2,1632700,0,0,0,489810,4958050,77000000,0,0,0,723000,0,0,1142890,2,1
3,1,0,0,0,269720,0,9500000,77000000,5000000,900000,0,62123000,0,0,269720,1,1
1,2,753720,0,0,200000,447543,5323800,99000000,0,0,0,11740920,180000,0,506177,2,1
3,1,8309396,0,0,0,240000,950000,77000000,0,123000000,0,0,0,0,560000,1,1
3,1,1250000,0,11582,0,375000,0,77000000,0,1550000,0,19491000,0,0,886582,0,0
1,3,0,0,0,0,0,23275000,99000000,0,0,0,11259000,1600000,0,0,3,1
1,2,0,0,0,0,0,0,99000000,12000000,165900000,0,22229000,0,0,0,2,1
1,1,270000,0,5583,581200,221000,39130500,99000000,0,0,0,32239000,0,0,635783,1,1
3,1,4841336,2500000,0,323180,221000,366000000,77000000,0,550148098,0,10155000,0,0,372180,1,1
2,1,3721378,0,0,323180,0,0,80000000,0,0,0,3758000,0,0,323180,1,1
2,1,0,0,0,155079,0,24665800,80000000,19858000,7171604,0,27761000,380000,0,155079,1,1
3,1,5970549,0,0,323180,0,63400000,77000000,0,283200543,0,15538000,0,0,323180,1,1
3,1,3000000,0,0,0,0,0,77000000,0,0,0,2162000,0,0,0,1,1
2,1,4263336,308333,0,323180,0,0,80000000,0,332999999,0,405000,0,0,323180,1,1
3,3,700000,0,0,577080,270000,9500000,77000000,0,16000000,16000000,2513420,0,0,1007080,3,1
1,1,3071333,0,31249,323180,226400,2812000,99000000,0,0,0,99489000,26617798,0,416029,1,1
3,1,3533300,108333,0,323180,0,0,77000000,5550000,215000000,0,3178000,0,0,323180,1,1
2,2,0,0,0,205600,0,0,80000000,0,0,0,15792000,671000,0,205600,2,1
2,1,4523970,66666,0,463860,66666,28366050,80000000,0,662000000,0,49625000,2620000,0,463860,1,1
3,1,10913931,0,0,383180,60000,28500000,77000000,0,195200000,0,102000,0,0,323180,1,1
2,2,338525,0,0,200000,246025,29074750,80000000,12076000,0,0,1329000,140000,0,0,2,1
1,1,0,0,0,0,0,0,99000000,0,0,0,1420000,0,0,0,1,1
3,1,1900000,0,0,992090,0,19163400,77000000,0,0,0,23470000,10000000,0,992090,0,0
3,1,1339860,33333,0,0,394803,23750000,77000000,0,0,0,40778000,14520000,0,778557,0,0
1,2,133333,0,1208333,111000,40000,0,99000000,216000,1994069499,0,192000,0,0,204333,2,1
3,1,229500,0,0,726360,403180,0,77000000,0,230704048,0,1677000,0,0,323180,1,1
3,2,6592934,0,0,492000,0,0,77000000,46082000,326624480,0,807000,0,0,492000,2,1
3,1,1102610,4583333,1183333,323180,0,0,77000000,0,1029422238,0,10553000,0,0,323180,1,1
3,1,45561653,0,0,383180,60000,0,77000000,0,799605300,0,1758000,0,0,323180,1,1
3,1,1350000,0,0,0,405000,4068850,77000000,0,0,0,3217840,0,0,945000,0,0
2,1,8369323,391667,0,525400,0,22534000,80000000,10759000,0,0,7156000,0,0,525400,1,1
3,1,0,0,0,726360,403180,2850000,77000000,0,0,0,264000,0,0,323180,1,1
1,1,1142850,0,0,60000,581397,2974450,99000000,0,0,0,51975000,10000000,0,621453,1,1
3,1,3607496,700000,0,323180,120000,4750000,77000000,6000000,205681044,0,6619060,0,0,603180,1,1
3,1,4940543,0,0,323180,0,2850000,77000000,0,193200000,0,1211000,0,0,323180,1,1
2,1,0,0,0,0,0,0,80000000,0,78000000,13746764,30661000,0,0,0,1,1
2,1,300000,0,0,0,0,0,80000000,230000000,257000000,0,7241000,0,0,0,1,1
3,1,0,0,0,443810,0,2375000,77000000,0,44000000,31332467,153000,0,0,443810,1,1
1,1,0,0,0,0,0,47500000,99000000,17176000,10816256,3889624,71071000,0,0,270534,1,1
3,1,538720,0,0,40000,481616,950000,77000000,0,0,0,20549000,2500000,0,97104,1,1
1,1,11253436,0,0,323180,0,42750000,99000000,0,159600000,0,29479000,0,0,323180,1,1
2,1,234000,0,0,323180,210200,47485750,80000000,0,49464556,0,426000,0,0,346980,1,1
1,1,0,0,0,363180,40000,33250000,99000000,0,0,0,2496000,0,0,323180,1,1
3,1,0,0,0,0,0,0,77000000,0,0,0,0,0,0,0,1,1
3,1,0,0,0,0,0,0,77000000,0,21229813,0,6984000,0,0,0,1,1
3,1,1162208,0,68880,76752,0,55399999,77000000,1947000,0,0,1089000,0,0,76752,1,1
3,3,1386256,0,0,40000,502654,3325000,77000000,29261000,0,0,76407000,47539000,0,923602,3,1
3,1,0,0,0,380000,380000,0,77000000,0,0,0,11432270,0,0,0,1,1
3,1,1214000,0,0,116752,544200,0,77000000,0,23447544,0,52071000,0,0,786552,0,0
1,1,2766666,0,0,323180,0,0,99000000,0,468366,0,9621000,0,0,323180,1,1
1,1,946667,0,0,0,284000,475000,99000000,0,0,0,442000,0,0,662667,1,1
